"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Dev\fullstack\fullstack-front\src\administration\transmissionTypes\EditTransmissionType.js", "JavaScript", 0, 91, 0, 0, 0, 0, 1, 11, 103
"c:\Dev\fullstack\fullstack-front\src\administration\transmissionTypes\TransmissionTypes.js", "JavaScript", 0, 84, 0, 0, 0, 0, 0, 8, 92
"c:\Dev\fullstack\fullstack-front\src\administration\transmissions\AddTransmission.js", "JavaScript", 0, 136, 0, 0, 0, 0, 2, 23, 161
"c:\Dev\fullstack\fullstack-front\src\administration\transmissions\EditTransmission.js", "JavaScript", 0, 160, 0, 0, 0, 0, 3, 21, 184
"c:\Dev\fullstack\fullstack-front\src\administration\transmissions\ListTransmission.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 9, 78
"c:\Dev\fullstack\fullstack-front\src\administration\transmissions\Transmissions.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 7, 67
"c:\Dev\fullstack\fullstack-front\src\administration\transmissions\ViewTransmission.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 13, 96
"c:\Dev\fullstack\fullstack-front\src\administration\users\EditUser.js", "JavaScript", 0, 143, 0, 0, 0, 0, 1, 14, 158
"c:\Dev\fullstack\fullstack-front\src\administration\users\Users.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 7, 74
"c:\Dev\fullstack\fullstack-front\src\administration\users\ViewUser.js", "JavaScript", 0, 102, 0, 0, 0, 0, 1, 9, 112
"c:\Dev\fullstack\fullstack-front\src\autosport\Autosport.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\Dev\fullstack\fullstack-front\src\catalog\bodystyles\AddBodystyle.js", "JavaScript", 0, 248, 0, 0, 0, 0, 6, 36, 290
"c:\Dev\fullstack\fullstack-front\src\catalog\bodystyles\EditBodystyle.js", "JavaScript", 0, 274, 0, 0, 0, 0, 1, 35, 310
"c:\Dev\fullstack\fullstack-front\src\catalog\bodystyles\ViewBodystyle.js", "JavaScript", 0, 183, 0, 0, 0, 0, 0, 17, 200
"c:\Dev\fullstack\fullstack-front\src\catalog\facelifts\AddFacelift.js", "JavaScript", 0, 100, 0, 0, 0, 0, 0, 14, 114
"c:\Dev\fullstack\fullstack-front\src\catalog\facelifts\EditFacelift.js", "JavaScript", 0, 137, 0, 0, 0, 0, 1, 17, 155
"c:\Dev\fullstack\fullstack-front\src\catalog\facelifts\ViewFacelift.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Dev\fullstack\fullstack-front\src\catalog\generations\AddGeneration.js", "JavaScript", 0, 136, 0, 0, 0, 0, 2, 13, 151
"c:\Dev\fullstack\fullstack-front\src\catalog\generations\EditGeneration.js", "JavaScript", 0, 182, 0, 0, 0, 0, 1, 17, 200
"c:\Dev\fullstack\fullstack-front\src\catalog\generations\ViewGeneration.js", "JavaScript", 0, 185, 0, 0, 0, 0, 1, 15, 201
"c:\Dev\fullstack\fullstack-front\src\catalog\makes\AddMake.js", "JavaScript", 0, 139, 0, 0, 0, 0, 2, 19, 160
"c:\Dev\fullstack\fullstack-front\src\catalog\makes\EditMake.js", "JavaScript", 0, 179, 0, 0, 0, 0, 1, 17, 197
"c:\Dev\fullstack\fullstack-front\src\catalog\makes\ViewMake.js", "JavaScript", 0, 243, 0, 0, 0, 0, 3, 22, 268
