"filename", "language", "JSON", "JavaScript", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Dev\fullstack\fullstack-front\src\administration\transmissions\ListTransmission.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Dev\fullstack\fullstack-front\src\administration\transmissions\Transmissions.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Dev\fullstack\fullstack-front\src\administration\transmissions\ViewTransmission.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Dev\fullstack\fullstack-front\src\administration\users\Users.js", "JavaScript", 0, -51, 0, 0, 0, 0, -3, -54
"c:\Dev\fullstack\fullstack-front\src\administration\users\ViewUser.js", "JavaScript", 0, 48, 0, 0, 0, 1, 3, 52
"c:\Dev\fullstack\fullstack-front\src\catalog\bodystyles\AddBodystyle.js", "JavaScript", 0, 27, 0, 0, 0, 0, 2, 29
"c:\Dev\fullstack\fullstack-front\src\catalog\bodystyles\EditBodystyle.js", "JavaScript", 0, 21, 0, 0, 0, 0, -2, 19
"c:\Dev\fullstack\fullstack-front\src\catalog\bodystyles\ViewBodystyle.js", "JavaScript", 0, 102, 0, 0, 0, 0, 2, 104
"c:\Dev\fullstack\fullstack-front\src\catalog\facelifts\AddFacelift.js", "JavaScript", 0, 26, 0, 0, 0, 0, 3, 29
"c:\Dev\fullstack\fullstack-front\src\catalog\facelifts\EditFacelift.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 11
"c:\Dev\fullstack\fullstack-front\src\catalog\generations\AddGeneration.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 10
"c:\Dev\fullstack\fullstack-front\src\catalog\generations\EditGeneration.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 14
"c:\Dev\fullstack\fullstack-front\src\catalog\generations\ViewGeneration.js", "JavaScript", 0, 109, 0, 0, 0, 0, 7, 116
"c:\Dev\fullstack\fullstack-front\src\catalog\makes\AddMake.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 11
"c:\Dev\fullstack\fullstack-front\src\catalog\makes\EditMake.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 14
"c:\Dev\fullstack\fullstack-front\src\catalog\makes\ViewMake.js", "JavaScript", 0, 157, 0, 0, 0, 3, 8, 168
"c:\Dev\fullstack\fullstack-front\src\catalog\models\AddModel.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Dev\fullstack\fullstack-front\src\catalog\models\EditModel.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 10
"c:\Dev\fullstack\fullstack-front\src\catalog\models\ViewModel.js", "JavaScript", 0, 110, 0, 0, 0, 0, 4, 114
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\AddPhoto.js", "JavaScript", 0, -54, 0, 0, 0, 0, -10, -64
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\AddTrim.js", "JavaScript", 0, 58, 0, 0, 0, 0, 1, 59
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\DeletePhoto.js", "JavaScript", 0, -23, 0, 0, 0, -1, -5, -29
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\EditTrim.js", "JavaScript", 0, 116, 0, 0, 0, -2, 17, 131
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\PhotoManagement.js", "JavaScript", 0, -54, 0, 0, 0, -3, -9, -66
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\SetMainPhoto.js", "JavaScript", 0, -23, 0, 0, 0, -1, -6, -30
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\ViewTrim.js", "JavaScript", 0, 383, 0, 0, 0, 4, 26, 413
"c:\Dev\fullstack\fullstack-front\src\components\GoogleMapWithMarker.js", "JavaScript", 0, 145, 0, 0, 0, 14, 16, 175
"c:\Dev\fullstack\fullstack-front\src\components\Grid.js", "JavaScript", 0, 65, 0, 0, 0, 10, 13, 88
"c:\Dev\fullstack\fullstack-front\src\components\Masonry.css", "CSS", 0, 0, 14, 0, 0, 1, 2, 17
