Date : 2025-01-16 00:03:11
Directory : c:\Dev\fullstack\fullstack-front
Total : 99 files,  5038 codes, 92 comments, 315 blanks, all 5445 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Dev\fullstack\fullstack-front\src\administration\engineTypes\EditEngineType.js             | JavaScript |          9 |          0 |          0 |          9 |
| c:\Dev\fullstack\fullstack-front\src\administration\engineTypes\EngineTypes.js                | JavaScript |         22 |          0 |          0 |         22 |
| c:\Dev\fullstack\fullstack-front\src\administration\engines\AddEngine.js                      | JavaScript |         14 |          0 |          1 |         15 |
| c:\Dev\fullstack\fullstack-front\src\administration\engines\EditEngine.js                     | JavaScript |         17 |          0 |          0 |         17 |
| c:\Dev\fullstack\fullstack-front\src\administration\engines\Engines.js                        | JavaScript |          6 |          0 |          0 |          6 |
| c:\Dev\fullstack\fullstack-front\src\administration\engines\ListEngine.js                     | JavaScript |          6 |          0 |          0 |          6 |
| c:\Dev\fullstack\fullstack-front\src\administration\engines\ViewEngine.js                     | JavaScript |          6 |          0 |         -2 |          4 |
| c:\Dev\fullstack\fullstack-front\src\administration\fuels\AddFuel.js                          | JavaScript |          6 |          0 |          0 |          6 |
| c:\Dev\fullstack\fullstack-front\src\administration\fuels\EditFuel.js                         | JavaScript |          9 |          0 |          0 |          9 |
| c:\Dev\fullstack\fullstack-front\src\administration\fuels\Fuels.js                            | JavaScript |         22 |          0 |          0 |         22 |
| c:\Dev\fullstack\fullstack-front\src\administration\markets\AddMarket.js                      | JavaScript |         10 |          0 |          0 |         10 |
| c:\Dev\fullstack\fullstack-front\src\administration\markets\EditMarket.js                     | JavaScript |         37 |          0 |          2 |         39 |
| c:\Dev\fullstack\fullstack-front\src\administration\markets\Markets.js                        | JavaScript |         21 |          0 |          0 |         21 |
| c:\Dev\fullstack\fullstack-front\src\administration\roles\AddRole.js                          | JavaScript |         14 |          0 |          0 |         14 |
| c:\Dev\fullstack\fullstack-front\src\administration\roles\EditRole.js                         | JavaScript |         18 |          0 |          0 |         18 |
| c:\Dev\fullstack\fullstack-front\src\administration\roles\Roles.js                            | JavaScript |         17 |          0 |          0 |         17 |
| c:\Dev\fullstack\fullstack-front\src\administration\roles\ViewRole.js                         | JavaScript |         14 |          0 |          0 |         14 |
| c:\Dev\fullstack\fullstack-front\src\administration\transmissionTypes\AddTransmissionType.js  | JavaScript |          6 |          0 |          0 |          6 |
| c:\Dev\fullstack\fullstack-front\src\administration\transmissionTypes\EditTransmissionType.js | JavaScript |          9 |          0 |          0 |          9 |
| c:\Dev\fullstack\fullstack-front\src\administration\transmissionTypes\TransmissionTypes.js    | JavaScript |         22 |          0 |          1 |         23 |
| c:\Dev\fullstack\fullstack-front\src\administration\transmissions\AddTransmission.js          | JavaScript |         10 |          0 |          0 |         10 |
| c:\Dev\fullstack\fullstack-front\src\administration\transmissions\EditTransmission.js         | JavaScript |         13 |          0 |          0 |         13 |
| c:\Dev\fullstack\fullstack-front\src\administration\transmissions\ListTransmission.js         | JavaScript |          6 |          0 |          0 |          6 |
| c:\Dev\fullstack\fullstack-front\src\administration\transmissions\Transmissions.js            | JavaScript |          6 |          0 |          0 |          6 |
| c:\Dev\fullstack\fullstack-front\src\administration\transmissions\ViewTransmission.js         | JavaScript |          6 |          0 |          0 |          6 |
| c:\Dev\fullstack\fullstack-front\src\administration\users\Users.js                            | JavaScript |        -51 |          0 |         -3 |        -54 |
| c:\Dev\fullstack\fullstack-front\src\administration\users\ViewUser.js                         | JavaScript |         48 |          1 |          3 |         52 |
| c:\Dev\fullstack\fullstack-front\src\catalog\bodystyles\AddBodystyle.js                       | JavaScript |         27 |          0 |          2 |         29 |
| c:\Dev\fullstack\fullstack-front\src\catalog\bodystyles\EditBodystyle.js                      | JavaScript |         21 |          0 |         -2 |         19 |
| c:\Dev\fullstack\fullstack-front\src\catalog\bodystyles\ViewBodystyle.js                      | JavaScript |        102 |          0 |          2 |        104 |
| c:\Dev\fullstack\fullstack-front\src\catalog\facelifts\AddFacelift.js                         | JavaScript |         26 |          0 |          3 |         29 |
| c:\Dev\fullstack\fullstack-front\src\catalog\facelifts\EditFacelift.js                        | JavaScript |         10 |          0 |          1 |         11 |
| c:\Dev\fullstack\fullstack-front\src\catalog\generations\AddGeneration.js                     | JavaScript |         10 |          0 |          0 |         10 |
| c:\Dev\fullstack\fullstack-front\src\catalog\generations\EditGeneration.js                    | JavaScript |         14 |          0 |          0 |         14 |
| c:\Dev\fullstack\fullstack-front\src\catalog\generations\ViewGeneration.js                    | JavaScript |        109 |          0 |          7 |        116 |
| c:\Dev\fullstack\fullstack-front\src\catalog\makes\AddMake.js                                 | JavaScript |         11 |          0 |          0 |         11 |
| c:\Dev\fullstack\fullstack-front\src\catalog\makes\EditMake.js                                | JavaScript |         14 |          0 |          0 |         14 |
| c:\Dev\fullstack\fullstack-front\src\catalog\makes\ViewMake.js                                | JavaScript |        157 |          3 |          8 |        168 |
| c:\Dev\fullstack\fullstack-front\src\catalog\models\AddModel.js                               | JavaScript |          6 |          0 |          0 |          6 |
| c:\Dev\fullstack\fullstack-front\src\catalog\models\EditModel.js                              | JavaScript |         10 |          0 |          0 |         10 |
| c:\Dev\fullstack\fullstack-front\src\catalog\models\ViewModel.js                              | JavaScript |        110 |          0 |          4 |        114 |
| c:\Dev\fullstack\fullstack-front\src\catalog\trims\AddPhoto.js                                | JavaScript |        -54 |          0 |        -10 |        -64 |
| c:\Dev\fullstack\fullstack-front\src\catalog\trims\AddTrim.js                                 | JavaScript |         58 |          0 |          1 |         59 |
| c:\Dev\fullstack\fullstack-front\src\catalog\trims\DeletePhoto.js                             | JavaScript |        -23 |         -1 |         -5 |        -29 |
| c:\Dev\fullstack\fullstack-front\src\catalog\trims\EditTrim.js                                | JavaScript |        116 |         -2 |         17 |        131 |
| c:\Dev\fullstack\fullstack-front\src\catalog\trims\PhotoManagement.js                         | JavaScript |        -54 |         -3 |         -9 |        -66 |
| c:\Dev\fullstack\fullstack-front\src\catalog\trims\SetMainPhoto.js                            | JavaScript |        -23 |         -1 |         -6 |        -30 |
| c:\Dev\fullstack\fullstack-front\src\catalog\trims\ViewTrim.js                                | JavaScript |        383 |          4 |         26 |        413 |
| c:\Dev\fullstack\fullstack-front\src\components\GoogleMapWithMarker.js                        | JavaScript |        145 |         14 |         16 |        175 |
| c:\Dev\fullstack\fullstack-front\src\components\Grid.js                                       | JavaScript |         65 |         10 |         13 |         88 |
| c:\Dev\fullstack\fullstack-front\src\components\Masonry.css                                   | CSS        |         14 |          1 |          2 |         17 |
